meeting_key,session_key,session_type,driver_number,stint_number,date,compound,lap_start,lap_duration,is_pit_out_lap,air_temperature,circuit_short_name,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
1140,7763,Practice,24,19,1/1/23 14:21,HARD,94,122.0289993,TRUE,25.5,Sakhir,32,1009.5,0,31.60000038,338,1.100000024
1140,7763,Practice,24,20,1/1/23 15:14,MEDIUM,114,1412.427002,TRUE,24.20000076,Sakhir,34,1009.900024,0,29.10000038,335,1.700000048
1140,7763,Practice,24,21,1/1/23 15:24,MEDIUM,117,450.6830139,TRUE,24.20000076,Sakhir,37,1010,0,29,4,1
1140,7763,Practice,24,22,1/1/23 15:35,MEDIUM,120,402.4360046,TRUE,23.79999924,Sakhir,39,1010.200012,0,28.5,355,1.299999952
1140,7763,Practice,24,23,1/1/23 15:45,SOFT,123,407.4710083,TRUE,23.89999962,Sakhir,38,1010.400024,0,28.29999924,0,0
1140,7763,Practice,24,24,1/1/23 15:56,SOFT,126,505.6900024,TRUE,23.79999924,Sakhir,39,1010.5,0,28.20000076,346,0
1140,7763,Practice,24,25,1/1/23 16:06,MEDIUM,129,386.25,TRUE,23.70000076,Sakhir,39,1010.5,0,27.89999962,10,0.5
1140,7763,Practice,24,26,1/1/23 16:09,SOFT,130,127.7149963,TRUE,23.70000076,Sakhir,39,1010.700012,0,27.89999962,348,0.600000024
1140,7763,Practice,24,27,1/1/23 16:11,SOFT,131,130.220993,TRUE,23.60000038,Sakhir,39,1010.700012,0,27.79999924,1,0.600000024
1140,7763,Practice,24,28,1/1/23 16:13,MEDIUM,132,131.4160004,TRUE,23.60000038,Sakhir,40,1010.700012,0,27.79999924,318,0.600000024
1140,7763,Practice,27,1,1/1/23 12:39,MEDIUM,1,,TRUE,29.20000076,Sakhir,13,1009,0,39.70000076,291,0.600000024
1140,7763,Practice,27,2,1/1/23 13:09,MEDIUM,8,1162.428955,TRUE,28.79999924,Sakhir,14,1009.200012,0,37.40000153,5,0.800000012
1140,7763,Practice,27,3,1/1/23 13:34,SOFT,15,834.4260254,TRUE,28.89999962,Sakhir,13,1009.200012,0,36.09999847,0,0
1140,7763,Practice,27,4,1/1/23 13:53,SOFT,20,732.4379883,TRUE,27.5,Sakhir,21,1009.5,0,34,351,0.800000012
1140,7763,Practice,27,4,1/1/23 13:53,SOFT,20,732.4379883,TRUE,27.5,Sakhir,21,1009.5,0,34,351,0.800000012
1140,7763,Practice,27,5,1/1/23 14:12,MEDIUM,25,671.1920166,TRUE,25.79999924,Sakhir,38,1009.5,0,31.79999924,348,1.700000048
1140,7763,Practice,27,6,1/1/23 14:48,MEDIUM,36,1125.040039,TRUE,24.79999924,Sakhir,31,1009.5,0,30.39999962,346,0.800000012
1140,7763,Practice,27,7,1/1/23 15:14,MEDIUM,39,1454.327026,TRUE,24.20000076,Sakhir,34,1009.900024,0,29.10000038,335,1.700000048
1140,7763,Practice,27,8,1/1/23 15:49,MEDIUM,49,1229.475952,TRUE,23.89999962,Sakhir,38,1010.200012,0,28.39999962,115,0
1140,7763,Practice,27,9,1/1/23 16:21,MEDIUM,66,357.6560059,TRUE,23.60000038,Sakhir,41,1011,0,27.60000038,104,0.600000024
1140,7763,Practice,31,1,1/1/23 7:01,MEDIUM,1,,TRUE,23.60000038,Sakhir,49,1011.700012,0,30.60000038,173,4
1140,7763,Practice,31,2,1/1/23 7:13,MEDIUM,5,441.9079895,TRUE,23,Sakhir,52,1012.200012,0,31.29999924,195,4
1140,7763,Practice,31,3,1/1/23 7:39,MEDIUM,8,1304.949951,TRUE,23,Sakhir,51,1012,0,33.20000076,184,4.300000191
1140,7763,Practice,31,4,1/1/23 8:12,MEDIUM,15,1307.541992,TRUE,24.10000038,Sakhir,38,1011.5,0,36.40000153,195,3.400000095
1140,7763,Practice,31,5,1/1/23 8:18,MEDIUM,18,151.7230072,TRUE,24.39999962,Sakhir,32,1011.5,0,36.5,184,3.900000095
1140,7763,Practice,31,6,1/1/23 8:50,MEDIUM,23,1453.425049,TRUE,25.39999962,Sakhir,27,1010.700012,0,38.79999924,191,3.700000048
1140,7763,Practice,31,7,1/1/23 9:48,MEDIUM,29,2980.612061,TRUE,28.89999962,Sakhir,13,1009.5,0,42.59999847,185,3
1140,7763,Practice,31,9,1/1/23 10:48,HARD,39,1922.530029,TRUE,30.70000076,Sakhir,10,1008.700012,0,43.79999924,185,2.5
1140,7763,Practice,31,10,1/1/23 11:07,HARD,47,453.9219971,TRUE,30.89999962,Sakhir,10,1008.700012,0,43.5,209,3
1140,7763,Practice,44,1,1/1/23 7:08,MEDIUM,1,,TRUE,23.29999924,Sakhir,51,1012,0,31,187,4.099999905
1140,7763,Practice,44,2,1/1/23 7:26,MEDIUM,7,556.6879883,TRUE,23,Sakhir,54,1012,0,32.20000076,187,4.300000191
1140,7763,Practice,44,3,1/1/23 8:09,MEDIUM,12,2197.477051,TRUE,24,Sakhir,39,1011.5,0,36.09999847,187,4.599999905
1140,7763,Practice,44,6,1/1/23 9:06,MEDIUM,27,986.1099854,TRUE,26.20000076,Sakhir,22,1010.5,0,39.70000076,190,2.400000095
1140,7763,Practice,44,7,1/1/23 9:13,MEDIUM,30,150.3430023,TRUE,26.5,Sakhir,20,1010.5,0,40.5,155,3.200000048
1140,7763,Practice,44,8,1/1/23 9:37,MEDIUM,38,799.4160156,TRUE,28.10000038,Sakhir,14,1009.700012,0,42.09999847,176,2.200000048
1140,7763,Practice,44,9,1/1/23 9:40,MEDIUM,39,170.8399963,TRUE,28.29999924,Sakhir,14,1009.700012,0,42.09999847,156,2.900000095
1140,7763,Practice,44,10,1/1/23 9:46,MEDIUM,42,159.0079956,TRUE,28.60000038,Sakhir,14,1009.5,0,42.59999847,170,2.700000048
1140,7763,Practice,44,11,1/1/23 10:14,MEDIUM,50,938.8969727,TRUE,29.79999924,Sakhir,11,1009,0,43.5,184,3.5
1140,7763,Practice,44,12,1/1/23 10:20,MEDIUM,53,153.4830017,TRUE,30.10000038,Sakhir,11,1009,0,43.59999847,204,2.700000048
1140,7763,Practice,44,13,1/1/23 10:46,MEDIUM,61,891.1380005,TRUE,30.70000076,Sakhir,10,1008.900024,0,43.90000153,205,3.200000048
1140,7763,Practice,44,14,1/1/23 10:52,MEDIUM,64,150.8860016,TRUE,30.70000076,Sakhir,10,1008.700012,0,43.70000076,202,4
